"error" "RP" "HH" "GK" "EE" "AP" "PL" "LP" "FL" "TP" "AA" "IK" "LT" "NP" "RA" "NA." "DA" "CA" "EA" "QA" "GA"
0.353116362124214 0 0 0 0 0 0 0.0714285714285714 0.0714285714285714 0 0 0 0 0 0 0 0 0 0 0 0
0.330845813917499 0 0 0 0.0588235294117647 0 0 0 0 0 0.0588235294117647 0 0 0 0 0 0 0 0 0.0588235294117647 0
0.225156358582349 0 0 0 0 0 0 0 0 0 0.0526315789473684 0 0.0526315789473684 0 0 0 0.0526315789473684 0 0 0 0
0.223726312519416 0 0 0.0555555555555556 0.0555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.224118725351865 0.0666666666666667 0 0 0 0 0 0 0.0666666666666667 0 0 0 0 0.0666666666666667 0 0 0 0 0 0 0
0.273610645732612 0 0 0 0 0 0.0526315789473684 0 0 0.0526315789473684 0 0.0526315789473684 0 0 0 0 0 0 0 0 0
0.23273461744467 0 0 0 0.05 0 0 0 0 0 0 0 0.05 0 0 0 0 0 0 0 0
0.250134149667045 0 0 0 0.0714285714285714 0 0 0 0 0.0714285714285714 0 0 0 0 0 0 0 0 0 0 0
0.220324675832206 0 0 0 0.0256410256410256 0 0 0.0256410256410256 0 0 0 0 0 0 0 0 0 0 0 0 0
0.301727288361494 0 0 0 0 0 0 0 0 0 0.1875 0 0 0 0 0.0625 0 0 0 0 0
0.213718380885084 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.264907800874802 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.227433190366216 0 0 0.0666666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.215511940245894 0 0 0 0 0 0 0 0 0 0 0 0.0384615384615385 0 0 0 0 0.0384615384615385 0.0384615384615385 0 0
0.242876652391244 0 0 0 0 0 0 0 0 0 0.0952380952380952 0 0 0 0 0 0 0 0.0476190476190476 0 0.0952380952380952
0.212789279005364 0 0 0 0.0434782608695652 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0434782608695652 0 0
0.243263469739307 0 0 0 0 0.0357142857142857 0 0 0 0.0357142857142857 0.0357142857142857 0 0 0 0 0 0 0 0.0357142857142857 0 0
0.357762878168438 0 0 0 0 0 0 0 0 0.0625 0 0 0 0 0 0 0 0 0 0 0
0.244798168486613 0 0 0 0 0 0.0526315789473684 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.213340980245042 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.257652776361721 0 0 0 0 0 0 0 0 0 0.0625 0 0 0 0 0 0.0625 0.0625 0.0625 0 0
0.20276978642234 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0526315789473684 0 0
