"error" "Schneider.lag1" "Schneider.lag2" "Schneider.lag3" "Schneider.lag4" "Schneider.lag5" "Grantham.lag1" "Grantham.lag2" "Grantham.lag3" "Grantham.lag4" "Grantham.lag5"
0.285127974231981 9.372666 5.700636 4.996382 5.145053 4.705074 160609 120978 84650 128053 83218
0.190980682297981 2.847049 2.615621 2.030123 2.76374 1.426579 108555 102803 64095 96075 57817
0.209693723049889 5.352995 3.936859 4.162301 4.27425 4.264815 134049 122196 97952 80856 109724
0.283257861053994 2.11837 2.465445 1.619827 1.514274 1.578199 82045 109756 58412 25310 38482
0.215401712179845 2.894086 3.073753 2.775023 3.977215 3.858596 67132 92345 103142 112108 117518
0.237745181564586 4.903013 3.229344 3.685235 2.612296 3.87491 140405 134587 89166 72508 112161
0.271943560565955 5.702997 2.787254 4.843811 4.776606 4.809066 344414 228351 209434 217336 225253
0.189203700965706 11.307486 10.79501 11.707714 9.643699 10.535445 303224 327000 323819 310348 310310
0.228533691810183 4.465176 4.287648 3.766862 2.405492 3.485559 120930 129783 91762 90999 109061
0.20284030681657 3.518673 3.581166 1.773525 2.235822 2.779076 183217 123735 105116 93618 113157
0.227647416872313 10.851163 8.512668 6.307227 7.962024 6.623298 221749 189484 125110 159652 149607
0.264983029776279 4.054446 3.414739 3.591921 1.42842 2.467616 68538 88305 80870 34349 41612
0.188328315926944 11.921065 13.171546 10.847416 12.014031 8.792627 326399 372892 284895 314010 208919
0.184677419354839 11.573699 7.616474 5.982203 5.69133 8.213562 313921 251277 181983 141740 243133
0.183012926620832 3.966233 3.858389 3.524877 2.762151 2.782136 122717 129831 102663 73324 124165
0.214948337671041 6.123408 5.394094 4.311671 4.41974 3.848339 150319 148239 96951 101761 103820
0.181114281400382 5.777843 8.515489 6.734642 1.903773 3.800272 137296 211215 151425 67981 105534
0.18055797902247 7.33295 6.340791 3.759412 5.19096 4.334058 219814 185907 111038 144791 150630
0.187192970456767 5.12752 3.873282 3.360806 2.452595 4.130152 136235 151162 91046 51896 127664
0.194544683103473 4.085925 3.338 4.175096 3.888359 3.364979 119582 118773 139292 156921 104076
0.176834479201152 5.159478 6.928728 5.539541 4.954124 4.313977 183874 251033 142384 92805 175460
0.411498786133949 2.172646 2.183847 1.88092 1.759459 1.277201 72224 67552 55944 43090 12509
0.247798831122188 8.516497 8.480402 5.264606 6.455347 5.798122 198859 178130 117303 140337 98000
0.189893699354499 2.746695 2.272307 3.110162 3.520229 3.593249 67483 110965 119031 142840 158800
0.178844325644483 7.341511 6.385909 7.206284 5.206547 4.797253 177887 177467 172706 150129 114123
0.173573604021323 10.980555 8.47397 9.659216 7.296092 7.611752 328773 251129 272876 161811 215925
0.20470699292933 6.257114 5.730499 5.402298 3.348422 4.123573 142162 130001 105680 78155 81323
0.17102207075246 3.441569 3.518038 2.451169 1.989139 2.603472 104848 132217 88692 49428 81779
0.171193470698421 3.498298 4.264714 2.57372 2.897517 2.520828 160091 182801 92471 126788 106769
0.175775557786341 11.646026 12.955159 13.431959 11.00596 8.641201 327853 332550 348199 292022 261673
0.187051630610407 5.089624 5.952002 5.661254 5.146307 4.754569 168332 171122 172385 138097 150044
0.292519345358462 3.25551 4.159986 3.436757 2.746433 1.155437 87872 70693 40656 36714 54866
0.169225000585878 13.474207 12.092017 12.918766 9.21046 11.063801 328086 365022 296375 285242 319304
0.220337683056533 4.020646 4.017983 4.712092 4.594339 3.838461 80428 96238 97965 117243 109650
0.179509328926558 3.621563 3.237737 2.318584 2.381431 2.102584 121531 107479 52225 79894 67412
0.166730784924049 5.836316 4.967825 3.876727 3.854581 4.155352 175648 100328 124683 83447 124377
0.229538672538399 6.397972 7.211454 7.116608 5.717311 5.428857 161722 195054 169923 124070 148505
0.166219463823234 3.794916 4.017463 2.786288 3.230546 3.178947 138180 118253 76295 84766 89788
0.171028371500761 6.242025 8.712287 5.727237 5.057838 6.327769 164310 188483 139184 111476 165929
0.195055373576665 7.531327 6.524827 5.372964 6.378024 4.977386 233811 272288 216619 224582 176674
0.197885238574142 7.696736 8.107363 7.048475 5.630959 5.227419 254396 253535 211419 207254 219550
0.194002931413151 6.175439 6.617435 6.25249 4.913762 4.180475 240667 211015 159343 123050 190786
0.187376516608102 5.121218 6.821784 5.720475 5.300022 4.304371 205927 224006 140421 138456 176703
