@relation errorPredict

@attribute sequenceLength real
@attribute NumberOfConsecOccurPolar real
@attribute NumberOfConsecOccurHydro real
@attribute NumberOfConsecOccurCharged real
@attribute MGYM real
@attribute MQ[NH]W real
@attribute WC[IS]Y real
@attribute WHC real
@attribute WW real
@attribute C[HS]CC real
@attribute CTHC real
@attribute WG[PS]W real
@attribute WN[IM]F real
@attribute PPPP real
@attribute GGG real
@attribute hydrophobic real 
@attribute charged real
@attribute polar real
@attribute errorPercent real

@data
16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.310,0.374,0.248,0.191594
19,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0.106,0.317,0.165533
10,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.500,0.400,0.100,0.205824
13,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.462,0.231,0.308,0.206103
17,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.354,0.294,0.295,0.157207
16,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.435,0.374,0.187,0.169838
19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.526,0.106,0.316,0.209004
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.467,0.134,0.334,0.194820
17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.412,0.118,0.353,0.168325
21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.620,0.144,0.144,0.181890
17,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0.354,0.353,0.295,0.163850
25,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0.360,0.200,0.440,0.156188
23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.347,0.086,0.434,0.169265
14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.428,0.285,0.285,0.161283
23,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.520,0.086,0.172,0.181008
16,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0.499,0.250,0.249,0.166653
19,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.527,0.158,0.316,0.171439
16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0.186,0.312,0.175904
18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.390,0.223,0.335,0.154793
19,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.473,0.211,0.316,0.187184
20,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0.300,0.300,0.150,0.193994
21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.286,0.286,0.428,0.169244
17,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.294,0.471,0.236,0.198029
