@relation errorPredict

@attribute CGend real
@attribute agadir real
@attribute errorPercent real


@data
0,0.64,0.168096568
0,0.09,0.141408912
0,0.71,0.164218791
0,0.05,0.196775146
0,0.16,0.173716927
0,0.12,0.194835813
0,0.48,0.131275462
0,0.11,0.131540695
0,0.56,0.132958083
0,0.21,0.133124674
1,0.14,0.246434333
0,0.54,0.121524921
0,3.26,0.150018309
0,0.27,0.126267382
0,0.64,0.121416276
0,0.64,0.137242441
0,0.38,0.12093054
0,1.5,0.182588163
0,0.58,0.171023275
0,0.76,0.12428659
0,1.89,0.120303698
0,0.09,0.138181235
0,0.75,0.186479063
0,1.55,0.149326356
0,0.07,0.173922823
0,0.37,0.123430269
0,0.09,0.151849104
0,0.77,0.195438215
0,0.5,0.119703755
0,0.49,0.119753523
0,1.9,0.120070825
0,0.5,0.120680531
0,0.4,0.169718395
0,5.25,0.119959453
0,0.12,0.197882747
0,0.28,0.126849371
0,0.02,0.172421731
0,0.03,0.133755353
0,0.3,0.182626392
0,0.35,0.165942926
0,0.15,0.179503851
0,0.38,0.122102108
0,2.12,0.146634419
0,1.58,0.118796174
0,0.28,0.139490003
0,0.05,0.143549253
0,0.98,0.139264522
0,0.02,0.172656733
0,0.1,0.205796866
0,2.59,0.162112331
0,0.69,0.140913472
0,1.87,0.144315292
0,0.43,0.147016787
0,0.99,0.120130952
0,0.08,0.183267632
0,0.79,0.136899629
0,0.36,0.150925258
0,0.18,0.131127851
0,0.71,0.132778802
0,3.24,0.152514264
0,0.05,0.146059826
0,0.63,0.142842872
0,0.05,0.190807072
0,0.68,0.13147335
0,0.24,0.168335882
0,1.08,0.148529155
0,0.22,0.11617869
0,0.25,0.130021844
0,0.46,0.142448929
0,0.91,0.119480321
0,0.51,0.140910513
0,0.22,0.115636879
0,0.08,0.132727891
0,0.27,0.121685149
0,0.69,0.149684409
0,0.05,0.214383616
0,1.32,0.129222866
0,2.04,0.158579901
0,0.58,0.129387631
0,0.21,0.166942552
1,0.05,0.216447383
0,0.41,0.138450313
0,0.14,0.173247191
0,0.29,0.126523648
0,0.79,0.124765183
0,0.1,0.169079786
0,0.53,0.121489867
0,2.37,0.136782682
0,1.64,0.126201669
0,0.12,0.145018054
0,2.21,0.141306713
0,0.46,0.12509051
0,0.02,0.202619607
0,0.27,0.121422167
0,0.15,0.13675535
0,0.42,0.136278579
0,0.52,0.202222129
1,0.11,0.128150982
0,0.29,0.193347332
0,0.07,0.19733816
0,1.29,0.140406432
0,0.27,0.124213513
0,0.23,0.14384932
0,0.27,0.138864256
0,0.48,0.112217999
0,0.7,0.149708662
0,0.07,0.193696506
0,0.1,0.134366431
0,0.11,0.117588961
0,1.56,0.110967623
0,0.45,0.132834477
0,0.41,0.113363808
0,0.94,0.126733084
0,1.7,0.116792364
0,1.31,0.11087519
0,0.73,0.146788474
0,0.62,0.129762935
0,1.31,0.121754753
0,0.15,0.135367766
0,0.08,0.217989014
0,0.32,0.146202872
0,0.06,0.148395646
0,0.16,0.168887864
0,0.73,0.111230618
0,0.19,0.154294583
0,0.49,0.154191835
0,0.14,0.153157606
0,0.12,0.18437998
0,0.09,0.121235633
0,0.29,0.159104024
0,0.13,0.11388717
0,1.41,0.130608727
0,0.21,0.165305383
0,0.04,0.19044249
1,0.04,0.202455396
0,0.44,0.129145586
0,0.76,0.117323103
1,0.84,0.11916107
0,0.5,0.130008946
0,0.16,0.149581135
0,0.14,0.160909693
